county,pop_black_1900,pop_amerindian_1900,pop_white_1900,pop_1900,pop_black_1910,pop_other_1910,pop_white_1910,pop_1910,pop_black_1920,pop_other_1920,pop_foreign_white_1920,pop_native_white_1920,pop_1920,sentences_1925,sentences_1924,sentences_1923,sentences_1922,sentences_1921,sentences_1920,sentences_1919,sentences_1918,sentences_1917,sentences_1916,sentences_1915,sentences_1914,sentences_1913,sentences_1912,sentences_1911,sentences_1910,sentences_1909,sentences_1908,sentences_1907,sentences_1906,sentences_1905,pct_agricultural_1910
alachua,18965,0,13279,32245,19092,1,15212,34305,14573,2,218,16896,31689,10,13,13,11,19,14,4,5,21,18,20,25,18,19,14,15,30,20,14,12,18,34
baker,1191,0,3325,4516,1159,0,3646,4805,1422,0,10,4190,5622,1,3,3,2,0,5,1,0,1,1,2,1,0,1,3,4,0,2,1,0,2,10.5
bay,NA,NA,NA,NA,NA,NA,NA,NA,2757,0,166,8484,11407,0,3,7,5,8,6,1,5,4,5,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
bradford,2727,0,7568,10295,3987,2,10101,14090,3492,0,70,8941,12503,0,4,6,7,4,5,11,1,15,7,10,10,6,3,NA,2,1,2,3,6,3,30.1
brevard,1074,81,4008,5158,1399,7,3311,4717,2483,16,391,5615,8505,17,15,12,7,7,5,9,0,9,8,9,4,7,8,8,9,6,3,2,6,4,3.9
broward,NA,NA,NA,NA,NA,NA,NA,NA,1572,25,231,3307,5135,6,5,3,0,5,5,0,2,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calhoun,2040,0,3092,5132,2140,0,5325,7465,2408,0,26,6341,8775,10,7,5,2,3,1,3,2,1,7,3,10,9,4,3,0,3,2,0,5,5,10.8
charlotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA
citrus,2637,0,2754,5391,3635,0,3096,6731,2525,0,42,2653,5220,1,6,1,6,3,2,2,0,2,3,10,9,5,4,10,7,11,2,9,6,7,5.8
clay,1832,0,3803,5635,2453,1,3662,6116,2072,0,85,3464,5621,2,1,2,2,7,1,5,1,3,7,10,3,6,6,6,11,7,8,11,2,7,8.1
collier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
columbia,9321,0,7778,17094,8411,1,9277,17689,6999,0,90,7201,14290,8,10,6,5,5,8,13,4,9,10,13,2,0,7,3,5,10,7,6,14,9,42.8
de soto,672,0,7374,8047,2351,11,11838,14200,4347,8,667,20412,25434,0,3,7,4,20,14,15,5,24,2,10,21,16,2,5,1,7,4,9,4,7,6.5
dixie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
duval,22417,5,17276,39733,37270,95,37798,75163,47989,98,4870,60583,113540,98,79,74,103,118,66,93,73,93,79,115,105,112,113,97,84,75,81,71,108,87,22
escambia,11925,0,16384,28313,15111,14,22904,38029,15221,28,1850,32287,49386,29,15,16,23,27,24,11,7,19,35,23,32,7,28,17,14,18,26,14,35,20,16.8
flagler,NA,NA,NA,NA,NA,NA,NA,NA,958,3,164,1317,2442,1,0,2,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
franklin,2242,0,2648,4890,2487,3,2711,5201,2484,4,187,2643,5318,3,0,2,0,3,3,1,1,4,4,10,1,1,2,4,4,4,4,1,4,2,3.5
gadsden,9856,0,5438,15294,14965,3,7230,22198,14812,0,121,8606,23539,3,3,4,0,16,12,8,4,2,9,16,1,9,19,12,4,17,13,14,9,9,62.9
gilchrist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
glades,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gulf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hamilton,5376,0,6505,11881,5533,0,6292,11825,4263,0,9,5601,9873,3,4,6,3,3,3,11,6,4,7,13,8,6,5,3,4,2,2,6,3,6,48.7
hardee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hendry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hernando,1815,0,1823,3638,2781,0,2216,4997,1825,0,101,2622,4548,2,0,6,1,3,3,3,0,8,3,2,4,4,7,3,2,3,4,5,6,2,8
highlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillsborough,8449,1,27528,36013,16445,58,61871,78374,16588,40,15157,56472,88257,34,18,9,14,21,23,14,29,19,28,35,30,22,30,22,17,25,31,45,41,42,13.4
holmes,1281,0,6481,7762,1194,0,10363,11557,1034,0,9,11807,12850,0,1,1,6,1,0,0,0,5,4,5,14,3,2,4,4,1,4,5,2,5,44.7
indian river,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jackson,12276,14,11087,23377,14254,1,15566,29821,13320,2,35,17867,31224,6,10,13,15,13,21,17,3,23,22,25,18,7,11,7,6,8,18,7,11,23,60.8
jefferson,12620,0,3575,16195,13114,0,4096,17210,10521,0,22,3959,14502,7,2,3,6,5,3,5,1,1,6,8,0,7,4,3,7,2,6,1,2,7,44.1
lafayette,763,0,4224,4987,1361,0,5349,6710,1113,0,4,5125,6242,1,2,0,1,4,2,2,3,0,3,2,1,1,3,3,3,2,3,4,2,3,12.8
