county,pct_agricultural_1910,year,sentences,population_black,population_white,plantation_belt
alachua,34,1905,18,19029,14245.5,1
baker,10.5,1905,2,1175,3485.5,0
bradford,30.1,1905,3,3358,8834.5,0
brevard,3.9,1905,4,1280.5,3659.5,0
calhoun,10.8,1905,5,2090,4208.5,0
citrus,5.8,1905,7,3136,2925,0
clay,8.1,1905,7,2143,3732.5,0
columbia,42.8,1905,9,8866.5,8527.5,1
dade,2.4,1905,14,2800.5,5641,0
de soto,6.5,1905,7,1517,9606,0
duval,22,1905,87,29893.5,27537,0
escambia,16.8,1905,20,13525,19644,0
franklin,3.5,1905,2,2366,2679.5,0
gadsden,62.9,1905,9,12412,6334,1
hamilton,48.7,1905,6,5454.5,6398.5,1
hernando,8,1905,2,2298,2019.5,0
hillsborough,13.4,1905,42,12476.5,44699.5,0
holmes,44.7,1905,5,1237.5,8422,1
jackson,60.8,1905,23,13272.5,13326.5,1
jefferson,44.1,1905,7,12867,3835.5,1
lafayette,12.8,1905,3,1062,4786.5,0
lake,16.7,1905,6,3132.5,5355.5,0
lee,2.1,1905,2,635.5,4047,0
leon,43.1,1905,13,15364.5,4291.5,1
levy,18.5,1905,8,4004.5,5477.5,0
liberty,12,1905,2,1804,2024,0
madison,54.7,1905,1,9157.5,7025,1
manatee,7.3,1905,5,1402,5704.5,0
marion,20.7,1905,9,15712.5,9959.5,0
monroe,0.7,1905,12,5825.5,13946,0
nassau,30.2,1905,10,5323,4765,0
orange,15.3,1905,4,5817,9423.5,0
osceola,8.2,1905,0,679,3796.5,0
palm beach,0,1905,NA,NA,NA,0
pasco,9.9,1905,4,2067.5,4710.5,0
polk,15.1,1905,11,5193,13116.5,0
putnam,16,1905,17,6214.5,6152.5,0
santa rosa,10,1905,1,3350,9245,0
st. johns,8,1905,37,4540,6644.5,0
st. lucie,2,1905,1,NA,NA,0
sumter,20.5,1905,4,2267.5,4174,0
suwannee,61.7,1905,11,7195,9383.5,1
taylor,9.6,1905,3,1563.5,3987.5,0
volusia,9.1,1905,14,5033.5,8222.5,0
wakulla,16.5,1905,1,2587,2388.5,0
walton,12.8,1905,12,3518,9385,0
washington,15.4,1905,4,3825.5,9453,0
alachua,34,1906,12,19041.8,14438.8,1
baker,10.5,1906,0,1171.8,3517.6,0
bradford,30.1,1906,6,3484.2,9087.8,0
brevard,3.9,1906,6,1305.6,3589.8,0
calhoun,10.8,1906,5,2100,4431.8,0
citrus,5.8,1906,6,3235.8,2959.2,0
clay,8.1,1906,2,2205.2,3718.4,0
columbia,42.8,1906,14,8775.6,8677.4,1
dade,2.4,1906,12,3080.2,6059.6,0
de soto,6.5,1906,4,1686,10052.4,0
duval,22,1906,108,31387.8,29589.199999999997,0
escambia,16.8,1906,35,13845,20296,0
franklin,3.5,1906,4,2390.8,2685.8,0
gadsden,62.9,1906,9,12923.2,6513.2,1
hamilton,48.7,1906,3,5470.2,6377.2,1
hernando,8,1906,6,2394.6,2058.8,0
hillsborough,13.4,1906,41,13281.8,48133.8,0
holmes,44.7,1906,2,1228.8,8810.2,1
jackson,60.8,1906,11,13469,13774.4,1
jefferson,44.1,1906,2,12916.4,3887.6,1
lafayette,12.8,1906,2,1121.8,4899,0
lake,16.7,1906,6,3231.4,5460.8,0
lee,2.1,1906,1,695.8,4309,0
leon,43.1,1906,6,15237.6,4372.6,1
levy,18.5,1906,2,4149,5508.8,0
liberty,12,1906,1,1865.4,2137,0
madison,54.7,1906,3,9208.2,7121.6,1
manatee,7.3,1906,3,1590.8,6004.4,0
marion,20.7,1906,8,15845.6,10080.2,0
monroe,0.7,1906,8,5833,14296.8,0
nassau,30.2,1906,4,5369.2,4806.2,0
orange,15.3,1906,6,6175,9838.8,0
osceola,8.2,1906,1,728.5999999999999,3953.2,0
palm beach,0,1906,NA,NA,NA,0
pasco,9.9,1906,2,2145.2,4777.6,0
polk,15.1,1906,8,5642,13835.2,0
putnam,16,1906,8,6333.2,6179.6,0
santa rosa,10,1906,16,3526.8,9528.6,0
st. johns,8,1906,19,4723.8,6865.4,0
st. lucie,2,1906,0,NA,NA,0
sumter,20.5,1906,3,2265,4227.4,0
suwannee,61.7,1906,12,7318.6,9664.8,1
taylor,9.6,1906,4,1788.6,4072.8,0
volusia,9.1,1906,11,5347.4,8559.4,0
wakulla,16.5,1906,2,2546.4,2394.4,0
walton,12.8,1906,7,3813.8,9800.6,0
washington,15.4,1906,4,4053.3999999999996,9850,0
alachua,34,1907,14,19054.6,14632.1,1
baker,10.5,1907,1,1168.6,3549.7,0
bradford,30.1,1907,3,3610.4,9341.1,0
brevard,3.9,1907,2,1330.7,3520.1,0
calhoun,10.8,1907,0,2110,4655.1,0
citrus,5.8,1907,9,3335.6,2993.4,0
clay,8.1,1907,11,2267.4,3704.3,0
columbia,42.8,1907,6,8684.7,8827.3,1
dade,2.4,1907,14,3359.8999999999996,6478.2,0
de soto,6.5,1907,9,1855,10498.8,0
duval,22,1907,71,32882.1,31641.4,0
escambia,16.8,1907,14,14165,20948,0
franklin,3.5,1907,1,2415.6,2692.1,0
gadsden,62.9,1907,14,13434.4,6692.4,1
hamilton,48.7,1907,6,5485.9,6355.9,1
hernando,8,1907,5,2491.2,2098.1,0
hillsborough,13.4,1907,45,14087.099999999999,51568.1,0
holmes,44.7,1907,5,1220.1,9198.4,1
jackson,60.8,1907,7,13665.5,14222.3,1
jefferson,44.1,1907,1,12965.8,3939.7,1
lafayette,12.8,1907,4,1181.6,5011.5,0
lake,16.7,1907,9,3330.3,5566.1,0
lee,2.1,1907,2,756.0999999999999,4571,0
leon,43.1,1907,12,15110.7,4453.7,1
