year,revenue
1877,1038.97
1878,-2076.5
1879,
1880,
1881,2745
1882,3630
1883,4930
1884,4600
1885,-8500
1886,-5e3
1887,
1888,
1889,
1890,
1891,5703.62
1892,10270.68
1893,10322.09
1894,14e3
1895,25e3
1896,16345.5
1897,18015
1898,17145.99
1899,21e3
1900,21e3
1901,21e3
1902,138588.75
1903,156687.78
1904,158001.22
1905,166544.61
1906,245647.94
1907,237979.13
1908,208148.34
1909,229994.19
1910,366134.81
1911,312953.01
1912,307132.48
1913,343781.47
1914,270055.74
1915,
1916,
1917,154978.32
1918,202581.68
1919,166096.56
