Year,Forest_industries,Phosphate,Plantation,Prison_farm,Public_roads
1889,588,0,0,0,0
1890,188,215,200,0,0
1891,120,289,0,0,0
1894,180,435,0,0,0
1898,493,563,0,0,0
1900,190,507,0,0,0
1902,708,325,0,0,0
1903,708,325,0,0,0
1904,800,300,0,0,0
1906,933,234,0,0,0
1908,1122,160,0,0,0
1910,1290,0,0,0,0
1911,1220,0,0,0,0
1913,1297,0,0,0,0
1915,930,0,0,458,0
1916,736,0,0,635,240
1917,736,0,0,881,0
1919,471,0,0,444,293
1920,0,0,0,486,627
1921,0,0,0,484,628
1922,0,0,0,445,903
1925,0,0,0,474,895
1926,0,0,0,993,907
1928,0,0,0,1648,1070
1930,0,0,0,1542,1085
