county,year,pct_agricultural_1910,sentences,population_black,population_white,plantation_belt
alachua,1905,34,18,19029,14245.5,1
alachua,1906,34,12,19041.8,14438.8,1
alachua,1907,34,14,19054.6,14632.1,1
alachua,1908,34,20,19067.4,14825.4,1
alachua,1909,34,30,19080.2,15018.7,1
alachua,1910,34,15,19093,15212,1
alachua,1911,34,14,18641.2,15402.2,1
alachua,1912,34,19,18189.4,15592.4,1
alachua,1913,34,18,17737.6,15782.6,1
alachua,1914,34,25,17285.8,15972.8,1
alachua,1915,34,20,16834,16163,1
alachua,1916,34,18,16382.2,16353.2,1
alachua,1917,34,21,15930.4,16543.4,1
alachua,1918,34,5,15478.6,16733.6,1
alachua,1919,34,4,15026.8,16923.8,1
baker,1905,10.5,2,1175,3485.5,0
baker,1906,10.5,0,1171.8,3517.6,0
baker,1907,10.5,1,1168.6,3549.7,0
baker,1908,10.5,2,1165.4,3581.8,0
baker,1909,10.5,0,1162.2,3613.9,0
baker,1910,10.5,4,1159,3646,0
baker,1911,10.5,3,1185.3,3701.4,0
baker,1912,10.5,1,1211.6,3756.8,0
baker,1913,10.5,0,1237.9,3812.2,0
baker,1914,10.5,1,1264.2,3867.6,0
baker,1915,10.5,2,1290.5,3923,0
baker,1916,10.5,1,1316.8,3978.4,0
baker,1917,10.5,1,1343.1,4033.8,0
baker,1918,10.5,0,1369.4,4089.2,0
baker,1919,10.5,1,1395.7,4144.6,0
bradford,1905,30.1,3,3358,8834.5,0
bradford,1906,30.1,6,3484.2,9087.8,0
bradford,1907,30.1,3,3610.4,9341.1,0
bradford,1908,30.1,2,3736.6,9594.4,0
bradford,1909,30.1,1,3862.8,9847.7,0
bradford,1910,30.1,2,3989,10101,0
bradford,1911,30.1,NA,3939.3,9992,0
bradford,1912,30.1,3,3889.6,9883,0
bradford,1913,30.1,6,3839.9,9774,0
bradford,1914,30.1,10,3790.2,9665,0
bradford,1915,30.1,10,3740.5,9556,0
bradford,1916,30.1,7,3690.8,9447,0
bradford,1917,30.1,15,3641.1,9338,0
bradford,1918,30.1,1,3591.4,9229,0
bradford,1919,30.1,11,3541.7,9120,0
brevard,1905,3.9,4,1280.5,3659.5,0
brevard,1906,3.9,6,1305.6,3589.8,0
brevard,1907,3.9,2,1330.7,3520.1,0
brevard,1908,3.9,3,1355.8,3450.4,0
brevard,1909,3.9,6,1380.9,3380.7,0
brevard,1910,3.9,9,1406,3311,0
brevard,1911,3.9,8,1515.3,3580.5,0
brevard,1912,3.9,8,1624.6,3850,0
brevard,1913,3.9,7,1733.9,4119.5,0
brevard,1914,3.9,4,1843.2,4389,0
brevard,1915,3.9,9,1952.5,4658.5,0
brevard,1916,3.9,8,2061.8,4928,0
brevard,1917,3.9,9,2171.1,5197.5,0
brevard,1918,3.9,0,2280.4,5467,0
brevard,1919,3.9,9,2389.7,5736.5,0
calhoun,1905,10.8,5,2090,4208.5,0
calhoun,1906,10.8,5,2100,4431.8,0
calhoun,1907,10.8,0,2110,4655.1,0
calhoun,1908,10.8,2,2120,4878.4,0
calhoun,1909,10.8,3,2130,5101.7,0
calhoun,1910,10.8,0,2140,5325,0
calhoun,1911,10.8,3,2166.8,5429.2,0
calhoun,1912,10.8,4,2193.6,5533.4,0
calhoun,1913,10.8,9,2220.4,5637.6,0
calhoun,1914,10.8,10,2247.2,5741.8,0
calhoun,1915,10.8,3,2274,5846,0
calhoun,1916,10.8,7,2300.8,5950.2,0
calhoun,1917,10.8,1,2327.6,6054.4,0
calhoun,1918,10.8,2,2354.4,6158.6,0
calhoun,1919,10.8,3,2381.2,6262.8,0
citrus,1905,5.8,7,3136,2925,0
citrus,1906,5.8,6,3235.8,2959.2,0
citrus,1907,5.8,9,3335.6,2993.4,0
citrus,1908,5.8,2,3435.4,3027.6,0
citrus,1909,5.8,11,3535.2,3061.8,0
citrus,1910,5.8,7,3635,3096,0
citrus,1911,5.8,10,3524,3055.9,0
citrus,1912,5.8,4,3413,3015.8,0
citrus,1913,5.8,5,3302,2975.7,0
citrus,1914,5.8,9,3191,2935.6,0
citrus,1915,5.8,10,3080,2895.5,0
citrus,1916,5.8,3,2969,2855.4,0
citrus,1917,5.8,2,2858,2815.3,0
citrus,1918,5.8,0,2747,2775.2,0
citrus,1919,5.8,2,2636,2735.1,0
clay,1905,8.1,7,2143,3732.5,0
clay,1906,8.1,2,2205.2,3718.4,0
clay,1907,8.1,11,2267.4,3704.3,0
clay,1908,8.1,8,2329.6,3690.2,0
clay,1909,8.1,7,2391.8,3676.1,0
clay,1910,8.1,11,2454,3662,0
clay,1911,8.1,6,2415.8,3650.7,0
clay,1912,8.1,6,2377.6,3639.4,0
clay,1913,8.1,6,2339.4,3628.1,0
clay,1914,8.1,3,2301.2,3616.8,0
clay,1915,8.1,10,2263,3605.5,0
clay,1916,8.1,7,2224.8,3594.2,0
clay,1917,8.1,3,2186.6,3582.9,0
clay,1918,8.1,1,2148.4,3571.6,0
clay,1919,8.1,5,2110.2,3560.3,0
columbia,1905,42.8,9,8866.5,8527.5,1
columbia,1906,42.8,14,8775.6,8677.4,1
columbia,1907,42.8,6,8684.7,8827.3,1
columbia,1908,42.8,7,8593.8,8977.2,1
columbia,1909,42.8,10,8502.9,9127.1,1
columbia,1910,42.8,5,8412,9277,1
columbia,1911,42.8,3,8270.7,9078.4,1
columbia,1912,42.8,7,8129.4,8879.8,1
